X,Y,OBJECTID,ID,CRIME_REPORT_ID,AGE,GENDER,RACE_ETHNICITY,CLEARANCE_STATUS,IPV,WEAPON,LOCATION,X_COORD_PUBLIC,Y_COORD_PUBLIC,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,CLEARANCE_DATE,CIRCUMSTANCES,COUNCIL_DISTRICT,COMMISSION_DISTRICT,CORRIDOR,CALENDAR_YEAR,CALENDAR_MONTH,DATE_REPORTED
1415281.99990672,569292.000060067,819,819,20180113-1822-00,7,Male,Black,Exceptionally Cleared,,Unknown,2100 SEBASTIANI DR,1415282,569292,35.298375,-80.959821,Freedom,332,2018/05/16 00:00:00+00,Domestic,2,2,,2018,01,2018/01/13 00:00:00+00
1430483.00001647,544368.000039399,820,820,20180111-1344-02,24,Female,Black,Exceptionally Cleared,Intimate Partner,Handgun,4100 CARLYLE DR,1430483,544368,35.230719,-80.907279,Freedom,387,2018/01/17 00:00:00+00,Domestic,3,2,FREEDOM DRIVE/WILKINSON,2018,01,2018/01/11 00:00:00+00
1491335.00003138,564893.99999781,821,821,20171222-0342-00,50,Female,Black,Exceptionally Cleared,Intimate Partner,Handgun,10800 DAPPLE GREY LN,1491335,564894,35.29015,-80.704712,University City,192,2018/04/25 00:00:00+00,Domestic,0,3,,2017,12,2017/12/22 00:00:00+00
1433544.00012806,553044.000075817,822,822,20171214-2135-00,39,Male,Black,Cleared by Arrest,,Firearm,600 BRADFORD DR,1433544,553044,35.254715,-80.897586,Freedom,385,2018/05/17 00:00:00+00,Other/Unknown,2,2,,2017,12,2017/12/14 00:00:00+00
1470670.00002289,542037.000108227,823,823,20171209-0840-00,37,Female,Hispanic,Exceptionally Cleared,Intimate Partner,Handgun,2200 KILBORNE DR,1470670,542037,35.226362,-80.772586,Eastway,389,2019/04/10 00:00:00+00,Domestic,5,4,,2017,12,2017/12/09 00:00:00+00
1470670.00002289,542037.000108227,824,824,20171209-0840-00,61,Female,Hispanic,Exceptionally Cleared,Intimate Partner,Handgun,2200 KILBORNE DR,1470670,542037,35.226362,-80.772586,Eastway,389,2019/04/10 00:00:00+00,Domestic,5,4,,2017,12,2017/12/09 00:00:00+00
1424400.00004339,502438.99990806,825,825,20171209-0321-01,55,Male,White,Cleared by Arrest,,Firearm,700 WESTINGHOUSE BV,1424400,502439,35.11521,-80.924923,Steele Creek,285,2017/12/19 00:00:00+00,Robbery,3,6,,2017,12,2017/12/09 00:00:00+00
1434460.99993446,555252.999922901,826,826,20171203-2125-04,23,Male,Black,Cleared by Arrest,,Handgun,4400 ROADWAY ST,1434461,555253,35.260831,-80.894656,Freedom,385,2018/09/05 00:00:00+00,Other/Unknown,2,2,,2017,12,2017/12/03 00:00:00+00
1480528.99998988,574414.999984637,827,827,20171120-2257-00,19,Male,Black,Open,,Firearm,500 BARTON CREEK DR,1480529,574415,35.315791,-80.741479,University City,66,,Other/Unknown,4,3,,2017,11,2017/11/20 00:00:00+00
1445864.00009431,557886.99990423,828,828,20171116-1306-00,41,Male,Black,Open,,"Rifle, Shotgun",2400 KENDALL DR,1445864,557887,35.268659,-80.856628,Metro,70,,Other/Unknown,2,2,BEATTIES FORD/ROZZELLES FERRY,2017,11,2017/11/16 00:00:00+00
